,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
513,UBERON:UBERON_0001620,2,0.02950956479531227,403,central retinal artery
514,UBERON:UBERON_0006074,2,0.008561616350598756,2293,lumbar region of vertebral column
515,UBERON:UBERON_0014932,2,0.012725287619795302,1623,periventricular white matter
516,UBERON:UBERON_0001636,2,0.020560599341030685,847,posterior cerebral artery
517,UBERON:UBERON_0019143,2,0.04757133457382333,90,intramuscular adipose tissue
518,UBERON:UBERON_0002722,2,0.025311340124115556,571,trochlear nucleus
519,UBERON:UBERON_0002721,2,0.01924151219835974,945,lateral sulcus
520,UBERON:UBERON_0006088,2,0.020660584917111348,840,inferior parietal cortex
521,UBERON:UBERON_0001846,2,0.010317695482742986,1982,internal ear
522,UBERON:UBERON_0001609,2,0.02909812311034698,417,isthmus of thyroid gland
523,UBERON:UBERON_0001601,2,0.034469660018763275,267,extra-ocular muscle
524,UBERON:UBERON_0002703,2,0.012942513019366756,1594,precentral gyrus
525,UBERON:UBERON_0002702,2,0.00963241748194408,2098,middle frontal gyrus
526,UBERON:UBERON_2005020,2,0.013109957433354809,1572,central artery
527,UBERON:UBERON_0002913,2,0.02620907751098113,530,intraparietal sulcus
528,UBERON:UBERON_0000978,2,0.001527817506743648,4111,leg
529,UBERON:UBERON_2005051,2,0.011180673294975588,1845,communicating vessel palatocerebral artery
530,UBERON:UBERON_2005040,2,0.05186862305501287,63,obsolete posterior lateral mesoderm
531,UBERON:UBERON_0035017,2,0.023048062276433044,689,nociceptor
532,UBERON:UBERON_0009552,2,0.028153772294637624,451,distal segment of manual digit
533,UBERON:UBERON_0001803,2,0.03372597833489633,284,epithelium of lens
534,UBERON:UBERON_0001800,2,0.023824469110542163,646,sensory ganglion
535,UBERON:UBERON_0000959,2,0.01625335778800614,1211,optic chiasma
536,UBERON:UBERON_0001814,2,0.023367003650432764,671,brachial nerve plexus
537,UBERON:UBERON_0007356,2,0.0159004155937056,1247,crop
538,UBERON:UBERON_0000936,2,0.0205038350769184,851,posterior commissure
539,UBERON:UBERON_0006473,2,0.01939548480855732,933,Brodmann (1909) area 18
540,UBERON:UBERON_0005384,2,0.012927405565636712,1596,nasal cavity epithelium
541,UBERON:UBERON_2005248,2,0.01432667845615061,1421,trans-choroid plexus branch
542,UBERON:UBERON_0004069,2,0.048990407292574936,80,accessory olfactory bulb
543,UBERON:UBERON_0018687,2,0.023768647268114597,649,glial limiting membrane
544,UBERON:UBERON_0002095,2,0.030441590606190186,373,mesentery
545,UBERON:UBERON_0004035,2,0.032787743281571136,307,cortical subplate
546,UBERON:UBERON_0000926,2,0.020804876375505515,830,mesoderm
547,UBERON:UBERON_0004288,2,0.007744045960081258,2454,skeleton
548,UBERON:UBERON_0008881,2,0.017983588332063906,1049,rostral migratory stream
549,UBERON:UBERON_0005373,2,0.026186366490550148,531,spinal cord dorsal column
550,UBERON:UBERON_2002185,2,0.032138396676690016,324,climbing fiber
551,UBERON:UBERON_6001057,2,0.02405037934361898,634,neurogenic region
552,UBERON:UBERON_0005343,2,0.02512291971586911,580,cortical plate
553,UBERON:UBERON_0009719,2,0.03942265912510569,177,tunicate siphon
554,UBERON:UBERON_0007777,2,0.01245370552538569,1660,umbilical vein endothelium
555,UBERON:UBERON_0009954,2,0.06207703101148521,27,vomeronasal system
556,UBERON:UBERON_0009950,2,0.022686330962918555,710,olfactory bulb plexiform layer
557,UBERON:UBERON_0013076,2,0.035262283398739214,250,snake venom
558,UBERON:UBERON_0027225,2,0.02648500238190504,518,noradrenergic system
559,UBERON:UBERON_2002118,2,0.02258494304815609,716,scale radius
560,UBERON:UBERON_0003030,2,0.029069265149793317,418,posterior nucleus of thalamus
561,UBERON:UBERON_0001066,2,0.018778784718110064,982,intervertebral disk
562,UBERON:UBERON_0007844,2,0.004381542466533706,3244,cartilage element
563,UBERON:UBERON_0008946,2,0.02016875365783117,875,lung parenchyma
564,UBERON:UBERON_0002168,2,0.02796820790172791,458,left lung
565,UBERON:UBERON_0008944,2,0.031953887821593134,329,albumen
566,UBERON:UBERON_0002136,2,0.03719202740058044,213,hilus of dentate gyrus
567,UBERON:UBERON_0001044,2,0.009782660681665393,2072,saliva-secreting gland
568,UBERON:UBERON_0005403,2,0.0121668302399192,1700,ventral striatum
569,UBERON:UBERON_0002370,2,0.004489732569709414,3215,thymus
570,UBERON:UBERON_2001463,2,0.02159988059746932,777,melanophore stripe
571,UBERON:UBERON_0014593,2,0.02671986737806168,508,tuberomammillary nucleus dorsal part
572,UBERON:UBERON_0002386,2,0.007987051294189635,2405,forelimb zeugopod
573,UBERON:UBERON_0002381,2,0.042162295778065455,141,pectoralis major
574,UBERON:UBERON_0001295,2,0.022351637419459808,730,endometrium
575,UBERON:UBERON_0002141,2,0.020819401021955498,829,parvocellular oculomotor nucleus
576,UBERON:UBERON_0003687,2,0.021308810290520702,796,foramen magnum
577,UBERON:UBERON_0002114,2,0.0163632964359218,1200,duodenum
578,UBERON:UBERON_0000177,2,0.011424745771150355,1808,pus
579,UBERON:UBERON_0002355,2,0.007467398563855616,2511,pelvic region of trunk
580,UBERON:UBERON_0000175,2,0.010118746573214672,2015,pleural effusion
581,UBERON:UBERON_0002111,2,0.024358337138553142,618,artery smooth muscle tissue
582,UBERON:UBERON_0003688,2,0.03663926106623473,223,omentum
583,UBERON:UBERON_0002110,2,0.015823368534839958,1255,gall bladder
584,UBERON:UBERON_0034728,2,0.027428070392128745,479,autonomic nerve
585,UBERON:UBERON_0004549,2,0.00806747340520231,2389,right eye
586,UBERON:UBERON_0004784,2,0.025269213533046533,573,heart ventricle wall
587,UBERON:UBERON_0007811,2,-0.0017246042124444314,5385,craniocervical region
588,UBERON:UBERON_0003690,2,0.02872825579843365,430,fused sacrum
589,UBERON:UBERON_0003693,2,0.03621461119802178,231,retroperitoneal space
590,UBERON:UBERON_0001032,2,0.015623433446420075,1276,sensory system
