,entity,numberOfDocumentsInQuery,kullbackLeiberDivergence,totalNumberOfDocuments,label
184,UBERON:UBERON_0035937,1,0.022346446247073555,616,arcuate fasciculus
185,UBERON:UBERON_0001154,1,-0.004436800203996069,6504,vermiform appendix
186,UBERON:UBERON_0000982,1,-0.01822733265042229,21889,skeletal joint
187,UBERON:UBERON_0002120,1,0.011033560801422709,1667,pronephros
188,UBERON:UBERON_0001032,1,0.0140710087428552,1276,sensory system
189,UBERON:UBERON_0002361,1,0.01182390237116657,1555,pia mater
190,UBERON:UBERON_0003544,1,0.007480025045798956,2279,brain white matter
191,UBERON:UBERON_0002576,1,0.013929403965152793,1292,temporal pole
192,UBERON:UBERON_0006134,1,0.0029609004132295324,3392,nerve fiber
193,UBERON:UBERON_0034743,1,0.022933208932319732,585,inferior longitudinal fasciculus
194,UBERON:UBERON_0001019,1,0.01310676011956419,1389,nerve fasciculus
195,UBERON:UBERON_0005976,1,0.03847486281057425,149,ansiform lobule crus I
196,UBERON:UBERON_0001255,1,0.014214400378755331,1260,urinary bladder
197,UBERON:UBERON_0001498,1,0.05183060041803293,46,muscle of pes
198,UBERON:UBERON_0001135,1,0.031144999944486208,284,smooth muscle tissue
199,UBERON:UBERON_0000044,1,0.00991151571219274,1840,dorsal root ganglion
200,UBERON:UBERON_0001017,1,0.007953472324312597,2186,central nervous system
201,UBERON:UBERON_0002589,1,0.0406539758852679,123,lateral corticospinal tract
202,UBERON:UBERON_0001015,1,0.00704949572456828,2367,musculature
203,UBERON:UBERON_0034746,1,0.030790473002942333,293,anterior thalamic radiation
204,UBERON:UBERON_0003528,1,0.015736957313217417,1102,brain gray matter
205,UBERON:UBERON_0034753,1,0.028262510225848025,366,inferior occipitofrontal fasciculus
206,UBERON:UBERON_0001900,1,0.012689109514505349,1441,ventral thalamus
207,UBERON:UBERON_0001906,1,0.005757555476934539,2652,subthalamic nucleus
208,UBERON:UBERON_0000376,1,0.007752523166768773,2225,hindlimb stylopod
209,UBERON:UBERON_0003882,1,-0.015256921171094388,16854,CA2 field of hippocampus
210,UBERON:UBERON_0002437,1,0.006274771277214866,2534,cerebral hemisphere white matter
211,UBERON:UBERON_0004852,1,-0.012219612198285728,12901,cardiovascular system endothelium
212,UBERON:UBERON_2000006,1,0.002797918494074003,3441,ball
213,UBERON:UBERON_0008897,1,0.02151090048966057,663,fin
214,UBERON:UBERON_0004050,1,0.009333579152721256,1936,subarachnoid cistern
215,UBERON:UBERON_0003881,1,-0.009517745219881859,10171,CA1 field of hippocampus
216,UBERON:UBERON_0005281,1,0.013074082494274851,1393,ventricular system of central nervous system
217,UBERON:UBERON_0011389,1,0.046582668092359114,73,bulbospongiosus muscle
218,UBERON:UBERON_0035973,1,-0.026681431137485043,46060,nucleus incertus
219,UBERON:UBERON_0002686,1,0.02411970096289353,527,angular gyrus
220,UBERON:UBERON_0022271,1,0.043709539215977145,94,corticopontine fibers
221,UBERON:UBERON_0000941,1,-0.013633264448508552,14610,cranial nerve II
222,UBERON:UBERON_0000025,1,-0.02040089749815909,26503,tube
223,UBERON:UBERON_0005396,1,-0.006927706401319475,8098,carotid artery segment
